Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Latvia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,50.62203061171048,46.74418956224937,54.48222659436811
Morocco,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,48.69092687213771,43.52961772212585,53.41673160192383
Monaco,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,57.86265556066199,54.20515035860274,61.417354457408734
Republic of Moldova,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,41.446739041023825,35.33563245897824,47.02767257201421
Madagascar,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,24.97273662227954,20.75129373471747,29.81371860182626
Maldives,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,48.81773892589841,44.08488833475452,52.938922756523695
Mexico,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,53.42418523430108,48.615494046568436,57.873316398427185
Marshall Islands,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,42.64690251154348,37.74958029336322,47.502632004862974
North Macedonia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,49.91492991735061,45.00816849092715,54.17082057279923
Mali,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,27.002351033934108,20.90417964721002,33.84104973576903
Malta,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,51.66130078264581,47.52078342331394,55.63429779803811
Myanmar,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,36.80356155052223,32.53297510948697,41.2955948483368
Montenegro,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,49.84803179282811,46.33252125999297,53.91283568861752
Mongolia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,41.247624928633456,36.71864224050931,46.24822837850235
Northern Mariana Islands,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,40.239191687670115,36.321405559217105,44.35408731313942
Mozambique,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,33.74076586144386,27.93008573007064,39.404751926651684
Mauritania,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,34.03091368436863,29.38746391285971,39.45356402672277
Mauritius,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,50.220957298900174,43.53059920258974,57.182443477126334
Malawi,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,35.526518315044626,30.34955845752313,41.679360380944836
Malaysia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,63.07381715420156,51.79734020880061,68.90523543341791
Namibia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,25.783223260627462,20.803244584351226,30.830823746487056
Niger,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,23.58388515331121,18.975274273514543,29.2570248895405
Nigeria,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,32.35237412661728,27.85188069354807,37.402233955676124
Nicaragua,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,49.70500665081114,43.83033938414425,55.70064807364308
Niue,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,34.74987681093137,28.54201045613302,40.04106560012101
Netherlands,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,51.436985495388186,46.73582309889982,55.17926778108717
Norway,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,57.72945702494897,54.68872116064809,60.68932054532069
Nepal,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,36.65411079968797,30.05859316621004,43.54794745595
Nauru,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.829460466980244,38.26014935206443,49.723333367886966
New Zealand,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,52.62652586964972,48.439961463778836,57.13320362706264
Oman,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,55.3793063379046,50.84916074809486,60.42849746453813
Pakistan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,40.77616831971037,34.180811480811855,47.37233440459995
Panama,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,47.82826397973079,39.536106913049224,54.79684249180221
Peru,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.390539101260686,40.04674879989246,51.16706996374337
Philippines,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,46.39312784937179,41.900278695012005,51.27759308373386
Palau,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,39.932376909649605,35.735440419713115,43.85369951375112
Papua New Guinea,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,31.236442355661183,27.038940471262528,35.67994861188669
Poland,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,41.51426080107405,37.66224510631538,45.210539795473665
Puerto Rico,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,52.04210471224571,47.94504111813496,56.081496092711156
Democratic People's Republic of Korea,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.92966434909205,42.10647648458393,50.19026145244047
Portugal,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,54.39012468554236,47.202272856695245,58.96306875798035
Paraguay,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,55.664040006975114,49.98853258129127,61.43831193312989
Palestine,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,52.187478634143645,46.904673435987945,57.34999868270947
Qatar,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,35.59392344113811,31.83150683729133,39.26017237766211
Romania,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,55.04076300491507,47.79064825866378,59.87691602380279
Russian Federation,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,56.48912910181344,52.15177151570122,60.98210466710604
Rwanda,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,13.646920414241462,9.634413627203841,18.2029958772261
Saudi Arabia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,48.49045481080859,41.78957763612587,56.99472117711293
